cluster_id,should_show_on_prominent_ui_surfaces,label,raw_label,triggerability_calculated,originator_cache_guid,originator_cluster_id
1,1,“web telegram”,web telegram,1,,0
2,1,“zip rar”,zip rar,1,,0
3,0,“banzima”,banzima,1,,0
4,1,“kape gui”,kape gui,1,,0
5,1,“kape download”,kape download,1,,0
6,0,“almosafer”,almosafer,1,,0
7,0,“how to be a good leader”,how to be a good leader,1,,0
8,0,“whtastpp web”,whtastpp web,1,,0
9,0,“kapegui”,kapegui,1,,0
10,0,“kape gui”,kape gui,1,,0
11,1,“web telegram”,web telegram,1,,0
12,0,,,0,,0
